"SPORT","YEAR","BRAND","PROGRAM","CARD SET","ATHLETE","TEAM","POSITION","CARD NUMBER","SEQUENCE"
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Animation","Diego Maradona","Argentina","M",24,
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Animation","Franz Beckenbauer","Germany","D",25,
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base","Brennan Johnson","Cymru","M",1,
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base","Neco Williams","Cymru","D",2,
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base","Daniel James","Cymru","M",3,
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base","Harry Wilson","Cymru","M",4,
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base","Iliman Ndiaye","Senegal","F",5,
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base","Nicolas Jackson","Senegal","F",6,
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base","Sadio Mane","Senegal","F",7,
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base","David Raya","Spain","G",8,
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base","Dean Huijsen","Spain","D",9,
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base","Lamine Yamal","Spain","M",10,
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base","Pedri","Spain","M",11,
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base","Nico Williams","Spain","M",12,
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base","Dani Olmo","Spain","M",13,
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base","Martin Zubimendi","Spain","M",14,
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base","Mikel Oyarzabal","Spain","F",15,
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base","Pau Cubarsi ","Spain","D",16,
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base","Fabian Ruiz","Spain","M",17,
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base","Alvaro Morata","Spain","F",18,
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base","Unai Simon","Spain","G",19,
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base","Yunus Musah","United States","M",20,
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base","Timothy Weah","United States","F",21,
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base","Tyler Adams","United States","M",22,
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base","Joe Scally ","United States","D",23,
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base","Weston McKennie","United States","M",24,
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base","Christian Pulisic","United States","F",25,
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base","Diego Luna","United States","M",26,
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base","Malik Tillman","United States","M",27,
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base","Matt Freese ","United States","G",28,
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base","Antonio Rudiger","Germany","D",29,
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base","Maximilian Beier","Germany","F",30,
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base","Karim Adeyemi","Germany","F",31,
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base","Oliver Baumann ","Germany","G",32,
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base","Deniz Undav","Germany","F",33,
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base","Maximilian Mittelstadt","Germany","D",34,
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base","Niclas Fullkrug","Germany","F",35,
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base","Kai Havertz","Germany","M",36,
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base","Leroy Sane","Germany","F",37,
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base","Serge Gnabry","Germany","F",38,
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base","Joshua Kimmich","Germany","M",39,
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base","Jamal Musiala","Germany","F",40,
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base","Marc-Andre ter Stegen","Germany","G",41,
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base","Robert Andrich","Germany","M",42,
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base","Florian Wirtz","Germany","F",43,
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base","Jonathan Burkardt","Germany","F",44,
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base","Jamie Donley","Northern Ireland","F",45,
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base","Trai Hume","Northern Ireland","D",46,
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base","Callum Marshall","Northern Ireland","F",47,
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base","Maximiliano Araujo","Uruguay","M",48,
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base","Manuel Ugarte","Uruguay","M",49,
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base","Federico Valverde","Uruguay","M",50,
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base","Ronald Araujo","Uruguay","D",51,
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base","Darwin Nunez","Uruguay","F",52,
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base","Facundo Pellistri","Uruguay","M",53,
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base","Dusan Vlahovic","Serbia","F",54,
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base","Lazar Samardzic","Serbia","M",55,
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base","Nikola Milenkovic","Serbia","D",56,
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base","Josko Gvardiol","Croatia","D",57,
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base","Ivan Perisic","Croatia","M",58,
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base","Mateo Kovacic","Croatia","M",59,
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base","Josip Stanisic","Croatia","D",60,
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base","Luka Modric","Croatia","M",61,
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base","Harry Kane","England","F",62,
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base","Jude Bellingham","England","M",63,
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base","Jordan Pickford","England","G",64,
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base","Bukayo Saka","England","F",65,
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base","Declan Rice","England","M",66,
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base","Anthony rdon","England","M",67,
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base","Eberechi Eze","England","M",68,
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base","Phil Foden","England","M",69,
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base","Cole Palmer","England","M",70,
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base","Trent Alexander-Arnold","England","M",71,
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base","Myles Lewis-Skelly","England","D",72,
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base","Jarrod Bowen","England","F",73,
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base","Raul Jimenez","Mexico","F",74,
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base","Santiago Gimenez","Mexico","F",75,
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base","Edson Alvarez","Mexico","M",76,
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base","Cesar Huerta","Mexico","M",77,
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base","Luis Romo","Mexico","M",78,
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base","Johan Vasquez","Mexico","D",79,
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base","Hugo Larsson","Sweden","M",80,
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base","Alexander Isak","Sweden","F",81,
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base","Viktor Gyokeres","Sweden","F",82,
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base","Dejan Kulusevski","Sweden","F",83,
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base","Rafael Leao","Portugal","F",84,
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base","Bernardo Silva ","Portugal","M",85,
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base","Joao Neves","Portugal","M",86,
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base","Diogo Costa","Portugal","G",87,
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base","Francisco Conceicao","Portugal","F",88,
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base","Vitinha","Portugal","M",89,
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base","Bruno Fernandes","Portugal","M",90,
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base","Cristiano Ronaldo","Portugal","F",91,
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base","Nuno Mendes","Portugal","D",92,
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base","Ruben Dias","Portugal","D",93,
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base","Pedro Neto","Portugal","F",94,
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base","Goncalo Ramos","Portugal","F",95,
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base","Brahim Diaz","Morocco","M",96,
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base","Bilal El Khannouss","Morocco","M",97,
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base","Eliesse Ben Seghir","Morocco","M",98,
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base","Achraf Hakimi","Morocco","D",99,
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base","Youssef En-Nesyri","Morocco","F",100,
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base","Abde Ezzalzouli","Morocco","M",101,
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base","Heung-Min Son","Korea Republic","F",102,
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base","Hee-chan Hwang","Korea Republic","F",103,
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base","Kang-in Lee","Korea Republic","M",104,
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base","Min-Hyuk Yang","Korea Republic","M",105,
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base","Edrick Menjivar ","Honduras","G",106,
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base","Joseph Rosales","Honduras","M",107,
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base","Romell Quioto","Honduras","F",108,
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base","Kervin Arriaga","Honduras","M",109,
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base","Sandro Tonali","Italy","M",110,
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base","Moise Kean","Italy","F",111,
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base","Gianluigi Donnarumma","Italy","G",112,
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base","Davide Frattesi","Italy","M",113,
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base","Nicolo Barella","Italy","M",114,
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base","Mateo Retegui","Italy","F",115,
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base","Riccardo Calafiori","Italy","D",116,
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base","Giovanni Di Lorenzo","Italy","D",117,
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base","Giacomo Raspadori","Italy","F",118,
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base","Alessandro Bastoni","Italy","D",119,
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base","Samuele Ricci","Italy","M",120,
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base","Destiny Udogie","Italy","D",121,
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base","Luis Suarez (COL)","Colombia","F",122,
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base","James Rodriguez","Colombia","M",123,
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base","Jhon Arias","Colombia","M",124,
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base","Luis Diaz","Colombia","F",125,
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base","Richard Rios","Colombia","M",126,
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base","Mohammed Kudus","Ghana","M",127,
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base","Jordan Ayew","Ghana","M",128,
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base","Ernest Nuamah","Ghana","M",129,
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base","Inaki Williams","Ghana","F",130,
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base","Antoine Semenyo","Ghana","F",131,
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base","Scott McTominay","Scotland","M",132,
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base","John McGinn","Scotland","M",133,
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base","Billy Gilmour","Scotland","M",134,
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base","Bradley Barcola","France","M",135,
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base","Manu Kone","France","M",136,
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base","Ousmane Dembele","France","M",137,
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base","Jules Kounde","France","D",138,
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base","Mike Maignan","France","G",139,
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base","Michael Olise","France","M",140,
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base","Eduardo Camavinga","France","M",141,
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base","William Saliba","France","D",142,
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base","Desire Doue","France","M",143,
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base","Matteo Guendouzi","France","M",144,
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base","Kylian Mbappe","France","F",145,
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base","Randal Kolo Muani","France","F",146,
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base","Theo Hernandez","France","D",147,
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base","Marcus Thuram","France","M",148,
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base","Warren Zaire-Emery","France","M",149,
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base","Aurelien Tchouameni","France","M",150,
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base","Ramon Sosa","Paraguay","M",151,
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base","Julio Enciso","Paraguay","F",152,
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base","Diego Gomez","Paraguay","M",153,
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base","Lionel Messi","Argentina","F",154,
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base","Thiago Almada","Argentina","M",155,
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base","Alexis Mac Allister","Argentina","M",156,
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base","Julian Alvarez","Argentina","F",157,
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base","Enzo Fernandez","Argentina","M",158,
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base","Nico Gonzalez","Argentina","F",159,
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base","Emiliano Martinez","Argentina","G",160,
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base","Rodrigo de Paul","Argentina","M",161,
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base","Cristian Romero","Argentina","D",162,
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base","Lautaro Martinez","Argentina","F",163,
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base","Nico Paz","Argentina","M",164,
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base","Giuliano","Argentina","M",165,
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base","Martin Odegaard","Norway","M",166,
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base","Andreas Schjelderup","Norway","M",167,
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base","Antonio Nusa","Norway","M",168,
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base","Alexander Sorloth","Norway","F",169,
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base","Erling Haaland","Norway","F",170,
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base","Sander Berge","Norway","M",171,
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base","Caoimhin Kelleher","Republic of Ireland","G",172,
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base","Nathan Collins","Republic of Ireland","D",173,
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base","Evan Ferguson","Republic of Ireland","F",174,
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base","Gregor Kobel","Switzerland","G",175,
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base","Manuel Akanji","Switzerland","D",176,
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base","Granit Xhaka","Switzerland","M",177,
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base","Breel Embolo","Switzerland","F",178,
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base","Vini Jr.","Brazil","F",179,
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base","Gabriel ","Brazil","D",180,
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base","Bruno Guimaraes","Brazil","M",181,
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base","Matheus Cunha","Brazil","F",182,
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base","Rodrygo","Brazil","F",183,
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base","Gabriel Martinelli","Brazil","M",184,
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base","Alisson Becker","Brazil","G",185,
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base","Savinho","Brazil","M",186,
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base","Vanderson","Brazil","D",187,
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base","Endrick","Brazil","F",188,
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base","Calvin Bassey ","Nigeria","D",189,
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base","Victor Osimhen","Nigeria","F",190,
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base","Ademola Lookman","Nigeria","M",191,
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base","Victor Boniface","Nigeria","F",192,
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base","Alex Iwobi","Nigeria","M",193,
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base","Samuel Chukwueze","Nigeria","M",194,
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base","Piotr Zielinski","Poland","M",195,
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base","Jakub Kiwior ","Poland","D",196,
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base","Robert Lewandowski","Poland","F",197,
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base","Kacper Urbanski ","Poland","M",198,
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base","Sebastian Szymanski","Poland","M",199,
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base","Nicola Zalewski","Poland","M",200,
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base Black","Brennan Johnson","Cymru","M",1,1
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base Black","Neco Williams","Cymru","D",2,1
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base Black","Daniel James","Cymru","M",3,1
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base Black","Harry Wilson","Cymru","M",4,1
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base Black","Iliman Ndiaye","Senegal","F",5,1
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base Black","Nicolas Jackson","Senegal","F",6,1
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base Black","Sadio Mane","Senegal","F",7,1
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base Black","David Raya","Spain","G",8,1
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base Black","Dean Huijsen","Spain","D",9,1
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base Black","Lamine Yamal","Spain","M",10,1
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base Black","Pedri","Spain","M",11,1
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base Black","Nico Williams","Spain","M",12,1
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base Black","Dani Olmo","Spain","M",13,1
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base Black","Martin Zubimendi","Spain","M",14,1
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base Black","Mikel Oyarzabal","Spain","F",15,1
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base Black","Pau Cubarsi ","Spain","D",16,1
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base Black","Fabian Ruiz","Spain","M",17,1
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base Black","Alvaro Morata","Spain","F",18,1
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base Black","Unai Simon","Spain","G",19,1
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base Black","Yunus Musah","United States","M",20,1
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base Black","Timothy Weah","United States","F",21,1
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base Black","Tyler Adams","United States","M",22,1
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base Black","Joe Scally ","United States","D",23,1
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base Black","Weston McKennie","United States","M",24,1
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base Black","Christian Pulisic","United States","F",25,1
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base Black","Diego Luna","United States","M",26,1
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base Black","Malik Tillman","United States","M",27,1
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base Black","Matt Freese ","United States","G",28,1
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base Black","Antonio Rudiger","Germany","D",29,1
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base Black","Maximilian Beier","Germany","F",30,1
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base Black","Karim Adeyemi","Germany","F",31,1
"Soccer",2025,"Donruss","Donruss Road to World Cup (25-26)","Base Black","Oliver Baumann ","Germany","G",32,1
