"SPORT","YEAR","BRAND","PROGRAM","CARD SET","ATHLETE","TEAM","POSITION","CARD NUMBER","SEQUENCE"
"Soccer",2025,"Panini","Select Ligue 1 (25-26)","Base Set Ligue 1 - Field Level","Zlatan Ibrahimovic","Paris Saint-Germain","F",249,
"Soccer",2025,"Panini","Select Ligue 1 (25-26)","Base Set Ligue 1 - Field Level","Denis Zakaria","AS Monaco","M",250,
"Soccer",2025,"Panini","Select Ligue 1 (25-26)","Base Set Ligue 1 - Field Level - Black","Maghnes Akliouche","AS Monaco","M",201,1
"Soccer",2025,"Panini","Select Ligue 1 (25-26)","Base Set Ligue 1 - Field Level - Black","Matthis Abline","FC Nantes","F",202,1
"Soccer",2025,"Panini","Select Ligue 1 (25-26)","Base Set Ligue 1 - Field Level - Black","Alexsandro","LOSC Lille","D",203,1
"Soccer",2025,"Panini","Select Ligue 1 (25-26)","Base Set Ligue 1 - Field Level - Black","Mika Biereth","AS Monaco","F",204,1
"Soccer",2025,"Panini","Select Ligue 1 (25-26)","Base Set Ligue 1 - Field Level - Black","Ousmane Dembele","Paris Saint-Germain","M",205,1
"Soccer",2025,"Panini","Select Ligue 1 (25-26)","Base Set Ligue 1 - Field Level - Black","Vanderson","AS Monaco","D",206,1
"Soccer",2025,"Panini","Select Ligue 1 (25-26)","Base Set Ligue 1 - Field Level - Black","Julio Enciso","RC Strasbourg Alsace","F",207,1
"Soccer",2025,"Panini","Select Ligue 1 (25-26)","Base Set Ligue 1 - Field Level - Black","Matt O’Riley ","Olympique de Marseille","M",208,1
"Soccer",2025,"Panini","Select Ligue 1 (25-26)","Base Set Ligue 1 - Field Level - Black","Vitinha","Paris Saint-Germain","M",209,1
"Soccer",2025,"Panini","Select Ligue 1 (25-26)","Base Set Ligue 1 - Field Level - Black","Folarin Balogun","AS Monaco","F",210,1
"Soccer",2025,"Panini","Select Ligue 1 (25-26)","Base Set Ligue 1 - Field Level - Black","Khvicha Kvaratskhelia ","Paris Saint-Germain","M",211,1
"Soccer",2025,"Panini","Select Ligue 1 (25-26)","Base Set Ligue 1 - Field Level - Black","Mason Greenwood","Olympique de Marseille","F",212,1
"Soccer",2025,"Panini","Select Ligue 1 (25-26)","Base Set Ligue 1 - Field Level - Black","Malick Fofana","Olympique Lyonnais","M",213,1
"Soccer",2025,"Panini","Select Ligue 1 (25-26)","Base Set Ligue 1 - Field Level - Black","Lucas Chevalier","Paris Saint-Germain","G",214,1
"Soccer",2025,"Panini","Select Ligue 1 (25-26)","Base Set Ligue 1 - Field Level - Black","Takumi Minamino","AS Monaco","M",215,1
"Soccer",2025,"Panini","Select Ligue 1 (25-26)","Base Set Ligue 1 - Field Level - Black","Timothy Weah","Olympique de Marseille","F",216,1
"Soccer",2025,"Panini","Select Ligue 1 (25-26)","Base Set Ligue 1 - Field Level - Black","Igor Paixao","Olympique de Marseille","M",217,1
"Soccer",2025,"Panini","Select Ligue 1 (25-26)","Base Set Ligue 1 - Field Level - Black","Edinson Cavani","Paris Saint-Germain","F",218,1
"Soccer",2025,"Panini","Select Ligue 1 (25-26)","Base Set Ligue 1 - Field Level - Black","Eden Hazard","LOSC Lille","M",219,1
"Soccer",2025,"Panini","Select Ligue 1 (25-26)","Base Set Ligue 1 - Field Level - Black","Lamine Camara","AS Monaco","M",220,1
"Soccer",2025,"Panini","Select Ligue 1 (25-26)","Base Set Ligue 1 - Field Level - Black","Eric Cantona","Olympique de Marseille","F",221,1
"Soccer",2025,"Panini","Select Ligue 1 (25-26)","Base Set Ligue 1 - Field Level - Black","Arthur Vermeeren","Olympique de Marseille","M",222,1
"Soccer",2025,"Panini","Select Ligue 1 (25-26)","Base Set Ligue 1 - Field Level - Black","George Weah ","Paris Saint-Germain","F",223,1
"Soccer",2025,"Panini","Select Ligue 1 (25-26)","Base Set Ligue 1 - Field Level - Black","Lionel Messi","Paris Saint-Germain","F",224,1
"Soccer",2025,"Panini","Select Ligue 1 (25-26)","Base Set Ligue 1 - Field Level - Black","Nuno Mendes","Paris Saint-Germain","D",225,1
"Soccer",2025,"Panini","Select Ligue 1 (25-26)","Base Set Ligue 1 - Field Level - Black","Ansu Fati","AS Monaco","F",226,1
"Soccer",2025,"Panini","Select Ligue 1 (25-26)","Base Set Ligue 1 - Field Level - Black","Marquinhos (D)","Paris Saint-Germain","D",227,1
"Soccer",2025,"Panini","Select Ligue 1 (25-26)","Base Set Ligue 1 - Field Level - Black","Mohamed-Ali Cho","OGC Nice","M",228,1
"Soccer",2025,"Panini","Select Ligue 1 (25-26)","Base Set Ligue 1 - Field Level - Black","Jonathan Ikone","Paris FC","F",229,1
"Soccer",2025,"Panini","Select Ligue 1 (25-26)","Base Set Ligue 1 - Field Level - Black","Emmanuel Emegha","RC Strasbourg Alsace","F",230,1
"Soccer",2025,"Panini","Select Ligue 1 (25-26)","Base Set Ligue 1 - Field Level - Black","Kylian Mbappe","AS Monaco","F",231,1
"Soccer",2025,"Panini","Select Ligue 1 (25-26)","Base Set Ligue 1 - Field Level - Black","Matias Fernandez-Pardo","LOSC Lille","M",232,1
"Soccer",2025,"Panini","Select Ligue 1 (25-26)","Base Set Ligue 1 - Field Level - Black","Neymar Jr","Paris Saint-Germain","F",233,1
"Soccer",2025,"Panini","Select Ligue 1 (25-26)","Base Set Ligue 1 - Field Level - Black","Kang-in Lee","Paris Saint-Germain","M",234,1
"Soccer",2025,"Panini","Select Ligue 1 (25-26)","Base Set Ligue 1 - Field Level - Black","Warren Zaire-Emery","Paris Saint-Germain","M",235,1
"Soccer",2025,"Panini","Select Ligue 1 (25-26)","Base Set Ligue 1 - Field Level - Black","Pierre-Emerick Aubameyang","Olympique de Marseille","F",236,1
"Soccer",2025,"Panini","Select Ligue 1 (25-26)","Base Set Ligue 1 - Field Level - Black","Ayyoub Bouaddi","LOSC Lille","M",237,1
"Soccer",2025,"Panini","Select Ligue 1 (25-26)","Base Set Ligue 1 - Field Level - Black","Brian Madjo ","FC Metz","F",238,1
"Soccer",2025,"Panini","Select Ligue 1 (25-26)","Base Set Ligue 1 - Field Level - Black","Jean-Pierre Papin ","Olympique de Marseille","F",239,1
"Soccer",2025,"Panini","Select Ligue 1 (25-26)","Base Set Ligue 1 - Field Level - Black","Guillaume Restes","Toulouse FC","G",240,1
"Soccer",2025,"Panini","Select Ligue 1 (25-26)","Base Set Ligue 1 - Field Level - Black","Ilan Kebbal","Paris FC","M",241,1
"Soccer",2025,"Panini","Select Ligue 1 (25-26)","Base Set Ligue 1 - Field Level - Black","Amine Gouiri ","Olympique de Marseille","F",242,1
"Soccer",2025,"Panini","Select Ligue 1 (25-26)","Base Set Ligue 1 - Field Level - Black","Olivier Giroud","LOSC Lille","F",243,1
"Soccer",2025,"Panini","Select Ligue 1 (25-26)","Base Set Ligue 1 - Field Level - Black","Joaquin Panichelli","RC Strasbourg Alsace","F",244,1
"Soccer",2025,"Panini","Select Ligue 1 (25-26)","Base Set Ligue 1 - Field Level - Black","Facundo Medina","Olympique de Marseille","D",245,1
"Soccer",2025,"Panini","Select Ligue 1 (25-26)","Base Set Ligue 1 - Field Level - Black","Esteban Lepaul","Stade Rennais FC","F",246,1
"Soccer",2025,"Panini","Select Ligue 1 (25-26)","Base Set Ligue 1 - Field Level - Black","Bradley Barcola","Paris Saint-Germain","M",247,1
"Soccer",2025,"Panini","Select Ligue 1 (25-26)","Base Set Ligue 1 - Field Level - Black","Thierry Henry","AS Monaco","F",248,1
"Soccer",2025,"Panini","Select Ligue 1 (25-26)","Base Set Ligue 1 - Field Level - Black","Zlatan Ibrahimovic","Paris Saint-Germain","F",249,1
"Soccer",2025,"Panini","Select Ligue 1 (25-26)","Base Set Ligue 1 - Field Level - Black","Denis Zakaria","AS Monaco","M",250,1
"Soccer",2025,"Panini","Select Ligue 1 (25-26)","Base Set Ligue 1 - Field Level - Black Dragon Scale","Maghnes Akliouche","AS Monaco","M",201,1
"Soccer",2025,"Panini","Select Ligue 1 (25-26)","Base Set Ligue 1 - Field Level - Black Dragon Scale","Matthis Abline","FC Nantes","F",202,1
"Soccer",2025,"Panini","Select Ligue 1 (25-26)","Base Set Ligue 1 - Field Level - Black Dragon Scale","Alexsandro","LOSC Lille","D",203,1
